,bic,PCECC96 Fore,GDPC1 Fore,CPIAUCSL Fore,PPIACO Fore,PCECC96,GDPC1,CPIAUCSL,PPIACO
2001-06-01,11.70658786970297,24.824246379276495,38.17833259687531,-0.05702713886822763,1.6424451430224842,-14.276,115.11,-0.4334,-1.5334
2001-09-01,11.811621079518236,52.68423311852712,-77.58435223558422,-0.2769039852683836,-0.35865348298436495,9.422,-132.494,-0.7333,-2.8666
2001-12-01,11.86057272683884,38.6506810443974,96.71648249069784,0.35832641928525477,-1.2599207808882926,102.089,91.275,-0.6333,-3.9667
2002-03-01,11.953118003104837,-37.52333466770705,54.26734045414379,0.46425421232232744,-1.714796024342634,-104.824,80.068,0.7,-0.5
2002-06-01,12.013223678708126,43.67729577027031,-79.81271940094256,0.299824408384376,-0.7333410157289838,18.766,-34.993,0.8333,1.9333
2002-09-01,12.061366997990698,-0.2378807042944402,-53.236382283374134,-0.608254826247616,0.6495993679688794,19.349,-21.23,-0.4334,0.8334
2002-12-01,12.054703135340889,-31.0994970124393,28.83801691108706,-0.19238215354918453,0.7778218791740877,-13.189,-38.96,0.1001,1.4
2003-03-01,12.07838292431516,-0.1504365177435858,39.71711840187012,0.20107801464953956,1.1781441497670948,-9.272,54.261,0.8,4.9666
2003-06-01,12.167815792498033,-29.099823102173097,-58.42961149205894,0.011066051637429797,3.0184711053838154,60.353,42.068999999999996,-2.1667,-0.8666
2003-09-01,12.388026117381083,6.816190476024764,-20.54759882766792,0.35511991659858566,0.4788141544611681,33.2,116.24,1.6666,0.9
2003-12-01,12.491190271769472,-57.82936851757772,-41.929318097845474,0.2180825491436248,1.6456884120619484,-72.578,-72.958,-0.6666,1.1666
2004-03-01,12.528383925546203,39.403184010823686,-6.209904383512722,-0.13065069199526153,0.32175907544064475,20.59,-85.07,0.8667,2.9667
2004-06-01,12.574578705935812,-5.746947257205328,53.91347074962732,-0.39316274628776804,1.5451957476011096,-24.948,32.874,-0.1,4.0667
2004-09-01,12.609883432278837,-14.592957766436493,-26.118626584143772,-0.08539044228252385,2.4484465046281425,47.115,27.085,-0.2667,1.4333
2004-12-01,12.639663893284794,-10.958989709246172,-8.934192364603634,0.013161115378060084,1.5281830345615217,-0.5920000000000001,9.431000000000001,0.8333,2.8333
2005-03-01,12.662131122637994,-41.788548139531215,-5.77706422136518,-0.20598562025627132,2.0819007823526245,-48.648,16.834,-1.0666,1.5334
2005-06-01,12.7007653149461,58.585139325892236,-30.159832537275108,0.3466756580005353,1.0189446861022005,55.086000000000006,-93.546,0.3333,2.4666
2005-09-01,12.719767124345056,-20.938313299623317,87.66702551866386,0.1068237347834814,1.9602393248496428,-15.187000000000001,64.092,1.6333,4.1667
2005-12-01,12.802291718640314,-69.77986658029207,-49.24101513642409,-0.948222563033673,2.480201580809004,-67.404,-37.729,-1.1,5.6
2006-03-01,12.88371755432675,60.132707564331156,-37.31993378734742,0.2559427852261782,2.8714397582336932,83.34100000000001,105.88600000000001,-0.7999,-1.5333
2006-06-01,12.965770794528002,19.195397348002167,-31.477822501909912,0.569778726083451,0.9215987785842683,-61.343999999999994,-164.75,0.7666,2.6333
2006-09-01,13.00332551861858,-1.8440694179843788,113.74412269259787,0.14821610058358559,1.616926975012481,10.658,-12.015999999999998,0.1,1.3
2006-12-01,13.047742605862028,-1.2017433427755666,6.302265157372624,-0.5337676000321409,1.0683657763261771,37.900999999999996,106.897,-2.7334,-2.5667
2007-03-01,13.192973779932407,39.32977865527522,3.1666123636066494,1.5771936725269518,-0.7419639016336947,-41.903,-94.16,2.8171,2.5667
2007-06-01,13.250932768158393,-15.256803321041065,17.751828984230183,-0.33888345753542315,2.094002883704883,-39.202,52.357,0.3303,6.1333
2007-09-01,13.319584626437841,11.926312877723266,-58.33559314818801,-1.554823637129744,0.9352023879117772,40.066,-4.104,-1.006,0.8334
2007-12-01,13.322796559029776,4.012340438173775,-16.09851491278546,0.2500312048569332,1.6791280034426594,-29.333000000000002,10.575999999999999,1.2427,3.7666
2008-03-01,13.354430134469155,-17.78180076996155,-6.65706939354321,-0.11667127338388117,2.8602812635680386,-58.676,-185.813,-0.2707,6.4334
2008-06-01,13.472961144144639,44.323607322112906,95.876623412853,-0.32125285871130793,2.5773715320433035,45.625,171.50900000000001,0.488,12.1333
2008-09-01,13.837884586138845,-47.23447251216956,-54.410006276431005,0.293519506674788,8.549203908198061,-97.09299999999999,-166.201,0.5553,4.4667
2008-12-01,13.913713194252638,27.149711050414407,-9.930270024185901,-0.7098204592959837,5.190544622712457,-18.647000000000002,-253.729,-8.3356,-22.4334
2009-03-01,14.878039266734907,268.6936174406472,226.636727976509,2.4156626056686186,-12.470425452428817,74.80199999999999,166.918,3.5413,-8.5
2009-06-01,14.96796857495006,-16.77167481649421,117.10313660164223,5.674442667253785,11.001892788239575,-18.686,150.264,2.6003,1.8
2009-09-01,15.006990698631737,-3.450621138858846,-53.739737598056536,-1.324712579294885,2.327991372632191,114.23200000000001,76.928,0.7077,2.5334
2009-12-01,15.15324019792932,-56.07520909896739,-26.106095971652366,-0.9342230744109066,0.7481251531939721,-87.425,111.73100000000001,-0.151,3.0333
2010-03-01,14.893174209952337,-18.948238132685383,-160.23615611562602,0.35324375498225274,3.4911833680930022,67.344,-107.749,-1.3419999999999999,5.1667
2010-06-01,15.044297439730816,-6.27423801563927,82.55324571573448,1.7242120840263522,4.796139996335594,31.929000000000002,83.045,-0.4207,2.1666
2010-09-01,15.108501620592687,-57.85269436318655,-55.09162196189848,0.0926204820735943,-0.2658190418989028,-9.522,-27.441999999999997,0.7137,0.4
2010-12-01,15.132191631912633,-37.46838340977918,-31.386724483419066,-1.547290165446959,-1.7081170382983115,-3.537,-36.032,1.1277,3.3667
2011-03-01,15.230008790110576,-31.054441585425973,-11.987368203450192,-1.0528465655615908,2.6782937027625104,-24.915,-116.529,0.58,7.9
2011-06-01,15.291631369686616,-7.078172792269273,107.17607139276112,-0.6114898513301651,4.3197657304702775,-21.829,150.213,0.1799,7.8
2011-09-01,15.30998024007903,-1.254322346043871,-144.1457708302304,-1.1058764144057636,1.8289116753458052,18.469,-116.738,-1.0602,0.1333
2011-12-01,15.319912812619204,-24.23530812071219,-76.8532258343028,-1.1927904602321102,-2.9173704179550985,-22.525,187.803,-0.4498,-3.0666
2012-03-01,15.7514048554636,19.331919698859373,-122.22963101309165,0.4267135900505176,-1.1292813066010545,67.553,-58.096000000000004,0.2641,1.4
2012-06-01,15.771373224950272,-18.334005216666725,83.08029202776736,0.9810898716536466,3.0968541810035095,-71.128,-55.922,-0.7967,-0.3667
2012-09-01,15.799928204009946,27.076221415975127,35.41751265966551,0.26945589915583323,0.5351030809316629,1.65,-47.528999999999996,0.551,0.6
2012-12-01,15.805002673628238,18.39551954996657,17.011740960929053,-0.15827727577910455,0.8804426847615222,31.403000000000002,-3.389,0.4953,-0.1333
2013-03-01,15.83198618015937,-30.841595611641914,30.512393535486602,-0.37687384857933703,0.4558984546908898,7.999,125.355,-0.5983,1.3333
2013-06-01,15.84378304753605,5.013127129022553,-34.68711374462447,0.8139824648278804,2.3513700759589256,-49.335,-123.61,-1.1843,0.3667
2013-09-01,15.922438968998405,41.018337998331745,25.416970440714636,0.6060040282683425,0.564103579721634,37.238,108.289,1.5093,0.2
2013-12-01,15.946658124518127,-23.64306062516677,-66.90255908387772,-0.7191075724591092,0.09685094014309331,50.989,3.4589999999999996,-0.3923,-2.2667
2014-03-01,15.99671012761369,-32.920559345266,40.28228368318299,0.022516289480848606,-0.28599897607643826,-51.855,-179.07299999999998,0.5956,3.6
2014-06-01,16.069106139449826,2.6815895824894476,132.2730157611111,0.4105014244680705,3.8900458311769874,79.441,272.04400000000004,-0.207,2.7
2014-09-01,16.101975420535783,-34.61573135744392,-127.4182290410723,-0.023210404373409377,1.769264102371432,-0.802,-19.312,-0.6453,-1.0667
2014-12-01,16.09326255532415,-22.735154185655645,-50.46931047796064,0.02412147401887943,-1.0496900586733675,17.118,-109.68299999999999,-1.196,-6.7
2015-03-01,16.129640583794867,0.3977213558329791,87.27513597699118,0.779401619302178,-1.8513532738539096,-42.978,38.602,-0.9786,-8.9
2015-06-01,16.16792405219434,63.80740376079032,31.80183151617186,1.6221520702492458,-1.420862837493131,-3.2889999999999997,-6.452999999999999,3.1869,1.5
2015-09-01,16.195423672450673,26.48951526179286,42.996615383101116,-0.025751437052917492,3.5415813843605513,-3.252,-70.536,-0.6940000000000001,-1.4
2015-12-01,16.23265346138824,13.524836178230943,56.25134244305365,-0.4391776654878202,-0.11088105062689035,-36.975,-51.873000000000005,-0.9153,-6.0666
2016-03-01,16.265996864895126,36.53871050980906,26.95910237655464,0.6039669908313341,-2.2638612508620723,40.357,82.257,-0.1003,-3.5667
2016-06-01,16.264674597956528,12.703653154105403,21.522260237587425,1.4642060192937365,1.3864509425418663,-6.92,-5.359,1.7973,3.3667
2016-09-01,16.25587313200544,-10.406750035034573,18.54116081815375,-0.1450244679994256,3.123791116481777,-9.293,13.079,-0.591,1.7
2016-12-01,16.229999663200783,12.027205534030706,-19.59750955937863,-0.3902411196100567,0.4459610627874533,-1.5290000000000001,-6.5,0.44799999999999995,0.0
2017-03-01,16.241985509962607,-3.5188543955691474,-26.839764975717557,-0.5389578306470415,-0.7940175882436449,-2.6630000000000003,11.868,0.10300000000000001,4.2
2017-06-01,16.265289885509127,7.54427751196466,19.820227037610252,0.3408091879335813,3.5589026233258294,0.415,-5.233,-1.431,1.8666
2017-09-01,16.3032984389674,6.298648785844351,-3.5987056584589396,0.39497656994392194,1.176210734223793,-0.619,46.718,1.0683,0.9
2017-12-01,16.30655302007235,-13.134254543944287,-63.61251911115791,-0.7072172424086117,-0.45657870814192725,70.05,16.396,0.6017,1.6667
2018-03-01,16.35795875255398,-55.06492517944992,9.042602870605041,-0.4588438420993273,1.0029170205367275,-90.243,-43.11600000000001,0.07200000000000001,3.1333
2018-06-01,16.366085470428242,34.959132791683956,1.0479609892446229,-0.3171490783893751,1.5991076166089961,73.101,44.091,-0.6486,3.7334
2018-09-01,16.390397939307846,-16.100980439342088,1.9051035605221287,0.33531912481951576,2.519725063328356,-15.68,-25.296,-0.0784,1.2
2018-12-01,16.373294170883543,-26.74289526182389,-9.334805810811595,-0.3585966478389391,0.045627021904370846,-64.11,-83.757,-0.3197,-1.1334
2019-03-01,16.3778088918168,51.674590964599716,14.938775302659728,-0.2023311449084239,-0.8668942839142242,-9.485,92.905,-0.37799999999999995,-2.8333
2019-06-01,16.408230112027848,48.66981115429063,-49.77608750739847,0.46556121438903864,-0.7043003543898341,100.751,-47.193999999999996,1.2757,1.5
