,PCECC96 Fore,GDPC1 Fore,CPIAUCSL Fore,PPIACO Fore,PCECC96,GDPC1,CPIAUCSL,PPIACO
2001-06-01,14.391849274196428,22.0696262695905,-0.03514356826601657,1.663900936079916,-14.276,115.11,-0.4334,-1.5334
2001-09-01,39.79938186642377,-53.51542462621531,-0.2933655723617942,-0.22137266808313308,9.422,-132.494,-0.7333,-2.8666
2001-12-01,29.09040275874498,73.82547599057723,0.1032058956956072,-1.4146884193841847,102.089,91.275,-0.6333,-3.9667
2002-03-01,-19.35441729782215,41.70196802085084,0.21665250832168437,-1.9441620892896834,-104.824,80.068,0.7,-0.5
2002-06-01,33.48876802164071,-49.32294651649551,0.1298003163055374,-1.1272882887516829,18.766,-34.993,0.8333,1.9333
2002-09-01,-1.8351871880353072,-26.36404506437432,-0.3735581889489934,0.417635741094741,19.349,-21.23,-0.4334,0.8334
2002-12-01,-22.929122774545203,15.437604814419156,-0.10672098992126054,0.7719273721715625,-13.189,-38.96,0.1001,1.4
2003-03-01,0.35964596996380543,24.737773442694948,0.14648598985877354,1.0989261961989387,-9.272,54.261,0.8,4.9666
2003-06-01,-21.22814494391449,-34.82055322045425,0.06129183883155407,3.0261810953490085,60.353,42.068999999999996,-2.1667,-0.8666
2003-09-01,7.252946265790974,-16.358502698242457,0.14200838199823784,0.7774522913468144,33.2,116.24,1.6666,0.9
2003-12-01,-37.56777552638527,-19.97819959954773,0.254030400731553,1.5247029153612075,-72.578,-72.958,-0.6666,1.1666
2004-03-01,24.573411635618676,-3.8885540782272163,-0.09210375804878666,0.5712719447194934,20.59,-85.07,0.8667,2.9667
2004-06-01,-7.0493499367566015,30.10936471136056,-0.149859459364004,1.7185847337328959,-24.948,32.874,-0.1,4.0667
2004-09-01,-16.0813081743051,-21.58092404551745,0.0224487601687686,2.598615538390352,47.115,27.085,-0.2667,1.4333
2004-12-01,-7.492080065978203,-12.703867906151874,0.06835329813853926,1.8575075530007308,-0.5920000000000001,9.431000000000001,0.8333,2.8333
2005-03-01,-31.277474203036615,-1.7167920364372935,-0.028922954976356222,2.2256526268454975,-48.648,16.834,-1.0666,1.5334
2005-06-01,35.9312067654518,-25.779883157796828,0.2824144468151278,1.4873365840182833,55.086000000000006,-93.546,0.3333,2.4666
2005-09-01,-16.028486762111346,49.3299443678893,0.1708842018497476,2.243892493364116,-15.187000000000001,64.092,1.6333,4.1667
2005-12-01,-51.87892464542642,-37.0319748662474,-0.49821956670145107,2.6475504656586,-67.404,-37.729,-1.1,5.6
2006-03-01,36.0132715586201,-27.80279602381702,0.2020720583679024,3.2141009913225016,83.34100000000001,105.88600000000001,-0.7999,-1.5333
2006-06-01,13.95312877090448,-28.732137033989122,0.4704197507250372,1.4896946151249575,-61.343999999999994,-164.75,0.7666,2.6333
2006-09-01,-4.21021307167604,69.63946350009192,0.14420352162577968,1.8265164280324857,10.658,-12.015999999999998,0.1,1.3
2006-12-01,-1.9012648715063074,2.0675103644579083,-0.37689980602690126,1.198401558704338,37.900999999999996,106.897,-2.7334,-2.5667
2007-03-01,31.401079616214258,1.343173943081,0.9033068349199508,-0.4067423147766097,-41.903,-94.16,2.8171,2.5667
2007-06-01,-13.402563939953502,13.121996455034656,-0.13282465715468977,1.7296973568580878,-39.202,52.357,0.3303,6.1333
2007-09-01,2.8966387181685596,-40.8935348325799,-0.9969901243480648,1.521571526503763,40.066,-4.104,-1.006,0.8334
2007-12-01,2.431157159511887,-16.575917864262635,0.18294335609041776,1.910199937968156,-29.333000000000002,10.575999999999999,1.2427,3.7666
2008-03-01,-15.402862159609322,-0.8824590572055315,0.012806079107242472,2.8045628520729826,-58.676,-185.813,-0.2707,6.4334
2008-06-01,27.07163976419877,53.50687021976857,-0.20918568267743412,3.0198327955011783,45.625,171.50900000000001,0.488,12.1333
2008-09-01,-31.985007609201464,-33.43308070943119,0.2323286519248208,8.15841887065863,-97.09299999999999,-166.201,0.5553,4.4667
2008-12-01,18.1396760284854,-8.737402895982942,-0.5744376656383353,5.135558653752004,-18.647000000000002,-253.729,-8.3356,-22.4334
2009-03-01,198.9744348476894,138.93373667244273,0.6583078678589814,-11.151114091678606,74.80199999999999,166.918,3.5413,-8.5
2009-06-01,2.740521733768135,91.68280761110809,3.2189368400117084,4.248032603395681,-18.686,150.264,2.6003,1.8
